,var,var_feature,question_type,ui_question_order,ui_type,question,ui_option_order,option_value,question_option,feature_order,score_mean,score_median,score_mode,score_min,score_max,score_stddev
0,age_calc,age_calc,value,1,slider,What is the patient's age?,,,value,0.0,71.46128056757267,73.0,73.0,0.0,110.0,14.382635936610892
1,num_of_episodes,num_of_episodes,value,2,slider,How many episodes of care did the patient receive for a particular type of medical treatment or care that spawned this home health visit?,,,value,69.0,2.8900997268008934,2.0,1.0,1.0,16.0,3.0070124568257737
2,temp,temp,value,3,slider,What is the patient's body temperature?,,,value,,97.77787306281145,97.8,98.0,0.0,104.2,2.553855761069929
3,systolic,systolic,value,4,slider,What is the patient's systolic blood pressure?,,,value,82.0,125.7220609799877,124.0,120.0,0.0,250.0,16.613401006259146
4,distolic,distolic,value,5,slider,What is the patient's diastolic blood pressure,,,value,7.0,71.16185678038808,70.0,70.0,0.0,180.0,10.054636758639939
5,pulse,pulse,value,6,slider,What is the patient's pulse rate?,,,value,81.0,77.14883570937457,76.0,80.0,0.0,174.0,12.628877168072197
6,respirations,respirations,value,7,slider,What is the patient's respiratory rate?,,,value,,18.763704068780463,18.0,18.0,0.0,100.0,8.550524750239637
7,o2_sat,o2_sat,value,8,slider,What is the patient's oxygen saturation?,,,value,70.0,95.9097810147917,96.0,95.0,0.0,100.0,2.32704923065763
8,bmi_category_normal,bmi_category_normal_1,parent,9,selectbox,What is the patient's BMI Category?,,1,Normal (18.5 - 24.9),4.0,,,,,,
9,bmi_category_underweight,bmi_category_underweight_1,parent,9,selectbox,What is the patient's BMI Category?,,1,Underweight (less than 18.5),,,,,,,
10,bmi_category_overweight,bmi_category_overweight_1,parent,9,selectbox,What is the patient's BMI Category?,,1,Overweight (25 - 29.9),5.0,,,,,,
11,bmi_category_class.1.obesity,bmi_category_class.1.obesity_1,parent,9,selectbox,What is the patient's BMI Category?,,1,Obesity Class 1 (Moderate 30 - 34.9),1.0,,,,,,
12,bmi_category_class.2.obesity,bmi_category_class.2.obesity_1,parent,9,selectbox,What is the patient's BMI Category?,,1,Obesity Class 2 (Severe 35 - 39.9),2.0,,,,,,
13,bmi_category_class.3.obesity,bmi_category_class.3.obesity_1,parent,9,selectbox,What is the patient's BMI Category?,,1,Obesity Class 3 (Morbid 40+),3.0,,,,,,
14,bmi_category_unknown,bmi_category_unknown_1,parent,9,selectbox,What is the patient's BMI Category?,,1,Unknown,6.0,,,,,,
15,m1033_hosp_risk_crnt_exhstn,m1033_hosp_risk_crnt_exhstn_1,parent,10,checkbox,What is the patient's risk for hospitalization? (Check off all that apply),,1,Current Exhaustion,,,,,,,
16,m1033_hosp_risk_hstry_falls,m1033_hosp_risk_hstry_falls_1,parent,10,checkbox,What is the patient's risk for hospitalization? (Check off all that apply),,1,History of falls (2 or more falls - or any fall with an injury -in the past 12 months),15.0,,,,,,
17,m1033_hosp_risk_mltpl_ed_visit,m1033_hosp_risk_mltpl_ed_visit_1,parent,10,checkbox,What is the patient's risk for hospitalization? (Check off all that apply),,1,Multiple ER visits (2 or more) in the past 6 months,,,,,,,
18,m1033_hosp_risk_mltpl_hospztn,m1033_hosp_risk_mltpl_hospztn_1,parent,10,checkbox,What is the patient's risk for hospitalization? (Check off all that apply),,1,Multiple hospitalizations (2 or more) in the past 12 months,,,,,,,
19,m1033_hosp_risk_mntl_bhv_dcln,m1033_hosp_risk_mntl_bhv_dcln_1,parent,10,checkbox,What is the patient's risk for hospitalization? (Check off all that apply),,1,"Recent decline in mental, emotional, orbehavioral status in the past 3 months",16.0,,,,,,
20,m1033_hosp_risk_compliance,m1033_hosp_risk_compliance_1,parent,10,checkbox,What is the patient's risk for hospitalization? (Check off all that apply),,1,"Not complying with any medical instructions (for example medications, diet, exercise) in the past 3 months",14.0,,,,,,
21,m1033_hosp_risk_weight_loss,m1033_hosp_risk_weight_loss_1,parent,10,checkbox,What is the patient's risk for hospitalization? (Check off all that apply),,1,Unintentional weight loss of a total of 10 pounds or more in the past 12 months,,,,,,,
22,m1033_hosp_risk_othr_risk,m1033_hosp_risk_othr_risk_1,parent,10,checkbox,What is the patient's risk for hospitalization? (Check off all that apply),,1,Not Listed Here,18.0,,,,,,
23,m1033_hosp_risk_none_above,m1033_hosp_risk_none_above_1,parent,10,checkbox,What is the patient's risk for hospitalization? (Check off all that apply),,1,None of the Above,17.0,,,,,,
24,primary_diag_clinical_group_mmta_after,primary_diag_clinical_group_mmta_after_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Surgical After Care,72.0,,,,,,
25,primary_diag_clinical_group_complex,primary_diag_clinical_group_complex_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Complex Medical and Surgical,71.0,,,,,,
26,primary_diag_clinical_group_mmta_cardiac,primary_diag_clinical_group_mmta_cardiac_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Cardiac/Circulatory,,,,,,,
27,primary_diag_clinical_group_mmta_resp,primary_diag_clinical_group_mmta_resp_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Respiratory,76.0,,,,,,
28,primary_diag_clinical_group_mmta_endo,primary_diag_clinical_group_mmta_endo_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Endocrine,73.0,,,,,,
29,primary_diag_clinical_group_behave_health,primary_diag_clinical_group_behave_health_1,parent,11,checkbox,What is the patient's active diagnosis group categories? (Check all that apply),,1,Psychiatric and Substance Abuse,,,,,,,
30,primary_diag_clinical_group_mmta_gi_gu,primary_diag_clinical_group_mmta_gi_gu_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Gastrointestinal or Genitourinary,74.0,,,,,,
31,primary_diag_clinical_group_ms_rehab,primary_diag_clinical_group_ms_rehab_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Musculoskeletal Rehabilitation,77.0,,,,,,
32,primary_diag_clinical_group_neuro_rehab,primary_diag_clinical_group_neuro_rehab_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Neuro/Stroke Rehabilitation,79.0,,,,,,
33,primary_diag_clinical_group_wound,primary_diag_clinical_group_wound_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Wounds,80.0,,,,,,
34,primary_diag_clinical_group_mmta_infect,primary_diag_clinical_group_mmta_infect_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Infectious Disease,,,,,,,
35,primary_diag_clinical_group_mmta_other,primary_diag_clinical_group_mmta_other_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Other,75.0,,,,,,
36,primary_diag_clinical_group_nan,primary_diag_clinical_group_nan_1,parent,11,checkbox,What is the patient's active diagnoses? (Check all that apply),,1,Not Available,78.0,,,,,,
37,high_risk_diag,high_risk_diag_0,child,12,selectbox,"Does patient's medical condition or diagnosis carry a significant risk of complications, severe outcomes, or adverse events?",0.0,0,No,,,,,,,
38,high_risk_diag,high_risk_diag_1,child,12,selectbox,"Does patient's medical condition or diagnosis carry a significant risk of complications, severe outcomes, or adverse events?",1.0,1,Yes,8.0,,,,,,
39,hospitalization_risk_score,hospitalization_risk_score_0,child,13,selectbox,What is the patient's hospitalization risk score?,0.0,0,Zero,,,,,,,
40,hospitalization_risk_score,hospitalization_risk_score_8,child,13,selectbox,What is the patient's hospitalization risk score?,1.0,8,Eight,,,,,,,
41,hospitalization_risk_score,hospitalization_risk_score_9,child,13,selectbox,What is the patient's hospitalization risk score?,2.0,9,Nine,,,,,,,
42,hospitalization_risk_score,hospitalization_risk_score_11,child,13,selectbox,What is the patient's hospitalization risk score?,3.0,11,Eleven,9.0,,,,,,
43,m1028_actv_diag_dm,m1028_actv_diag_dm_0,child,14,selectbox,Does patient have an active diagnosis of comorbidities or co-existing conditions of diabetes mellitus?,0.0,0,No,,,,,,,
44,m1028_actv_diag_dm,m1028_actv_diag_dm_1,child,14,selectbox,Does patient have an active diagnosis of comorbidities or co-existing conditions of diabetes mellitus?,1.0,1,Yes,10.0,,,,,,
45,m1028_actv_diag_pvd_pad,m1028_actv_diag_pvd_pad_0,child,15,selectbox,Does patient have an active diagnosis of comorbidities or co-existing conditions of peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?,0.0,0,No,,,,,,,
46,m1028_actv_diag_pvd_pad,m1028_actv_diag_pvd_pad_1,child,15,selectbox,Does patient have an active diagnosis of comorbidities or co-existing conditions of peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?,1.0,1,Yes,12.0,,,,,,
47,m1028_actv_diag_noa,m1028_actv_diag_noa_0,child,16,selectbox,"Does patient have an active diagnosis of comorbidities or co-existing conditions that is NOT diabetes mellitus, peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?",0.0,0,No,,,,,,,
48,m1028_actv_diag_noa,m1028_actv_diag_noa_1,child,16,selectbox,"Does patient have an active diagnosis of comorbidities or co-existing conditions that is NOT diabetes mellitus, peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?",1.0,1,Yes,11.0,,,,,,
49,m1030_thh_ent_nutrition,m1030_thh_ent_nutrition_0,child,17,selectbox,Does patient receive enteral nutrition therapy at home?,0.0,0,No,,,,,,,
50,m1030_thh_ent_nutrition,m1030_thh_ent_nutrition_1,child,17,selectbox,Does patient receive enteral nutrition therapy at home?,1.0,1,Yes,,,,,,,
51,m1030_thh_par_nutrition,m1030_thh_par_nutrition_0,child,18,selectbox,Does patient receive parenteral nutrition (TPN or lipids) at home?,0.0,0,No,,,,,,,
52,m1030_thh_par_nutrition,m1030_thh_par_nutrition_1,child,18,selectbox,Does patient receive parenteral nutrition (TPN or lipids) at home?,1.0,1,Yes,13.0,,,,,,
53,m1200_vision,m1200_vision_0,child,19,selectbox,What is the patient's current vision status?,0.0,0,"Normal. Sees adequately in most situations; can see medication labels, newsprint",,,,,,,
54,m1200_vision,m1200_vision_1,child,19,selectbox,What is the patient's current vision status?,1.0,1,"Partially Impaired. Cannot see medication labels or newsprint, but can see obstacles in path, and the surrounding layout; can count fingers at arm's length",,,,,,,
55,m1200_vision,m1200_vision_2,child,19,selectbox,What is the patient's current vision status?,2.0,2,Severely Impaired. Cannot locate object without hearing or touching them or patient nonresponsive,19.0,,,,,,
56,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_0,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,0.0,0,Has no pain,20.0,,,,,,
57,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_1,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,1.0,1,Has pain that does not interfere with activity or movement,21.0,,,,,,
58,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_2,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,2.0,2,Has pain but is less often than daily,22.0,,,,,,
59,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_3,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,3.0,3,Has pain daily but not constantly,23.0,,,,,,
60,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_4,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,4.0,4,Has pain all the time,24.0,,,,,,
61,m1306_unhld_stg2_prsr_ulcr,m1306_unhld_stg2_prsr_ulcr_0,child,21,selectbox,Does patient have at least one unhealed pressure ulcer at stage II or higher?,0.0,0,No,,,,,,,
62,m1306_unhld_stg2_prsr_ulcr,m1306_unhld_stg2_prsr_ulcr_1,child,21,selectbox,Does patient have at least one unhealed pressure ulcer at stage II or higher?,1.0,1,Yes,,,,,,,
63,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_0,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,0.0,0,Zero,,,,,,,
64,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_1,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,1.0,1,One,,,,,,,
65,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_2,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,2.0,2,Two,,,,,,,
66,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_3,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,3.0,3,Three,,,,,,,
67,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_4,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,4.0,4,Four,,,,,,,
68,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_0,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,0.0,0,Not problematic,,,,,,,
69,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_1,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,1.0,1,Stage I,,,,,,,
70,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_2,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,2.0,2,Stage II,,,,,,,
71,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_3,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,3.0,3,Stage III,,,,,,,
72,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_4,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,4.0,4,Stage IV ,,,,,,,
73,m1330_stas_ulcr_prsnt,m1330_stas_ulcr_prsnt_0,child,24,selectbox,Does patient have a stasis ulcer?,0.0,0,None Observable,,,,,,,
74,m1330_stas_ulcr_prsnt,m1330_stas_ulcr_prsnt_1,child,24,selectbox,Does patient have a stasis ulcer?,1.0,1,Both Observable and Unobservable,,,,,,,
75,m1330_stas_ulcr_prsnt,m1330_stas_ulcr_prsnt_2,child,24,selectbox,Does patient have a stasis ulcer?,2.0,2,Observable Only,25.0,,,,,,
76,m1330_stas_ulcr_prsnt,m1330_stas_ulcr_prsnt_3,child,24,selectbox,Does patient have a stasis ulcer?,3.0,3,Unobservable Only,,,,,,,
77,m1340_srgcl_wnd_prsnt,m1340_srgcl_wnd_prsnt_0,child,25,selectbox,Does patient have a surgical wound?,0.0,0,No,26.0,,,,,,
78,m1340_srgcl_wnd_prsnt,m1340_srgcl_wnd_prsnt_1,child,25,selectbox,Does patient have a surgical wound?,1.0,1,Yes. At Least One Observable,27.0,,,,,,
79,m1340_srgcl_wnd_prsnt,m1340_srgcl_wnd_prsnt_2,child,25,selectbox,Does patient have a surgical wound?,2.0,2,Yes. At Least One But Not Observable,28.0,,,,,,
